genotype,loc,test,year,rep,code,plot,fc,md,pub,lod,ht,yield,sdwt,sq,protein_dry_basis,oil_dry_basis
RM19-2700,CAS,HIF 5,2020,1,17,5,P,8,t,1,26,697,16.9,NA,48.64,21.34
RM19-2700,CAS,HIF 5,2020,2,17,44,P,8,t,1,29,838.1,16.3,NA,48.12,20.95
RM19-2700,CAS,HIF 5,2020,3,17,89,P,NA,t,NA,NA,767.9,15.4,NA,47.84,21.03
RM19-2701,CAS,HIF 5,2020,1,18,8,P,8,t,1.5,26,855.6,16.1,NA,47.4,21.39
RM19-2701,CAS,HIF 5,2020,2,18,60,P,8,t,1.5,31,754.4,14.2,NA,47.11,21.41
RM19-2701,CAS,HIF 5,2020,3,18,64,P,NA,t,NA,NA,850.6,14.4,NA,47.55,21.38
RM19-2705,CAS,HIF 5,2020,1,19,18,P,8,t,1.5,30,788.9,15.4,NA,47.34,21.33
RM19-2705,CAS,HIF 5,2020,2,19,37,P,8,t,1.5,38,885.6,15.1,NA,47.57,20.61
RM19-2705,CAS,HIF 5,2020,3,19,67,P,NA,t,NA,NA,961.9,14.8,NA,47.7,20.94
RM19-2708,CAS,HIF 5,2020,1,20,24,P,8,t,1.5,31,703.5,14.7,NA,47.11,21.09
RM19-2708,CAS,HIF 5,2020,2,20,32,P,8,t,1.5,30,774.1,15.3,NA,47.07,21.19
RM19-2708,CAS,HIF 5,2020,3,20,80,P,NA,t,NA,NA,941.6,15.7,NA,47.7,20.83
RM19-2712,CAS,HIF 5,2020,1,21,28,P,8,t,1,25,751,15.6,NA,42.57,23.48
RM19-2712,CAS,HIF 5,2020,2,21,38,P,8,t,1,27,910.4,17,NA,42.26,23.09
RM19-2712,CAS,HIF 5,2020,3,21,86,P,NA,t,NA,NA,935.4,15.5,NA,42.44,23.19
RM19-2722,CAS,HIF 5,2020,1,22,15,P,8,g,1,27,913.1,15.7,NA,44.39,21.61
RM19-2722,CAS,HIF 5,2020,2,22,56,P,8,g,1,30,1062.7,15,NA,44.34,22.27
RM19-2722,CAS,HIF 5,2020,3,22,90,P,NA,g,NA,NA,1071.3,15.7,NA,44.84,22.24
RM19-2729,CAS,HIF 5,2020,1,23,12,P,8,g,1.5,42,884.4,14.3,NA,45.56,21.51
RM19-2729,CAS,HIF 5,2020,2,23,50,P,8,g,1.5,39,760,14,NA,46.09,21.15
RM19-2729,CAS,HIF 5,2020,3,23,83,P,NA,g,NA,NA,1010.8,13.9,NA,45.13,21.73
RM19-2731,CAS,HIF 5,2020,1,24,7,P,8,g,1.5,42,945.5,15,NA,42.63,22.81
RM19-2731,CAS,HIF 5,2020,2,24,45,P,8,g,1.5,44,1107.7,14.5,NA,43.24,22.62
RM19-2731,CAS,HIF 5,2020,3,24,73,P,NA,g,NA,NA,1106.3,15.4,NA,43.49,22.73
RM19-2733,CAS,HIF 5,2020,1,25,27,P,8,g,1.2,42,892.4,14.6,NA,41.82,23.3
RM19-2733,CAS,HIF 5,2020,2,25,55,P,8,g,1.5,48,1070.7,14,NA,42.02,23.53
RM19-2733,CAS,HIF 5,2020,3,25,69,P,NA,g,NA,NA,1152.2,14.8,NA,42.19,23.21
RM19-2734,CAS,HIF 5,2020,1,26,14,P,8,g,1.5,38,843.9,12.9,NA,46.78,21.4
RM19-2734,CAS,HIF 5,2020,2,26,49,P,8,g,1.5,45,963.5,13.2,NA,46.7,21.46
RM19-2734,CAS,HIF 5,2020,3,26,65,P,NA,g,NA,NA,924.9,13.3,NA,45.98,21.93
RM19-2736,CAS,HIF 5,2020,1,27,23,P,8,g,1,37,764.4,12.6,NA,46.31,21.92
RM19-2736,CAS,HIF 5,2020,2,27,48,P,8,g,1.5,42,1045,13.3,NA,46.82,21.19
RM19-2736,CAS,HIF 5,2020,3,27,79,P,NA,g,NA,NA,1053.4,13.7,NA,46.87,21.18
Ellis,CAS,HIF 5,2020,1,29,2,W,8,g,1,26,1101.9,12.4,NA,42.65,21.27
Ellis,CAS,HIF 5,2020,2,29,46,W,8,g,1,30,1320.1,12.6,NA,42.34,21.98
Ellis,CAS,HIF 5,2020,3,29,81,W,NA,g,NA,NA,1176.5,12.9,NA,43.07,21.56
Osage,CAS,HIF 5,2020,1,30,1,P,8,g,1,30,1035.9,13.6,NA,46.42,20.35
Osage,CAS,HIF 5,2020,2,30,34,P,8,g,1,28,1034.7,13,NA,44.81,20.77
Osage,CAS,HIF 5,2020,3,30,62,P,NA,g,NA,NA,1329.2,14.1,NA,46.21,20.71
RM19-2621,CLA,HIF 5,2020,1,1,29,w,51,G,2.5,45,729.3,12.6,4.5,44.61,21.01
RM19-2621,CLA,HIF 5,2020,2,1,43,w,45,G,3,37,652,13.3,4.5,45,20.66
RM19-2621,CLA,HIF 5,2020,3,1,69,w,49,G,NA,NA,943.7,14.4,NA,45.53,21.14
RM19-2624,CLA,HIF 5,2020,1,2,22,w,40,G,3,43,1129.1,14.2,3.5,48.95,19.95
RM19-2624,CLA,HIF 5,2020,2,2,42,w,45,G,3.5,44,710.3,11.4,3.5,49.19,18.81
RM19-2624,CLA,HIF 5,2020,3,2,86,w,47,G,NA,NA,1011.5,13.8,NA,49.91,19.31
RM19-2625,CLA,HIF 5,2020,1,3,13,p,45,G,2.5,38,962.5,15.4,3.5,48.84,20.67
RM19-2625,CLA,HIF 5,2020,2,3,35,p,46,G,3,36,1099,13.8,3.5,48.83,20.24
RM19-2625,CLA,HIF 5,2020,3,3,70,p,39,G,NA,NA,885.2,14.2,NA,49.43,20.07
RM19-2629,CLA,HIF 5,2020,1,4,25,p,41,G,1.5,33,1498,13.9,3.5,43.61,21.5
RM19-2629,CLA,HIF 5,2020,2,4,37,p,39,G,1.5,34,1518.5,14.8,3,43.1,21.81
RM19-2629,CLA,HIF 5,2020,3,4,61,p,39,G,NA,NA,1395.9,13.1,NA,42.57,22.62
RM19-2630,CLA,HIF 5,2020,1,5,16,p,39,G,1.5,33,1433.1,14.5,2.5,43.36,22
RM19-2630,CLA,HIF 5,2020,2,5,53,p,39,G,1.5,30,1382.8,13.3,2.5,43.53,22.28
RM19-2630,CLA,HIF 5,2020,3,5,77,p,39,G,NA,NA,1402,13.2,NA,43.36,22.15
RM19-2634,CLA,HIF 5,2020,1,6,8,p,40,G,2,32,1641,13.2,2.5,43.36,22.03
RM19-2634,CLA,HIF 5,2020,2,6,33,p,38,G,1.5,30,1815.6,13.9,2.5,43.06,22.34
RM19-2634,CLA,HIF 5,2020,3,6,83,p,41,G,NA,NA,1444.1,14.1,NA,44.04,21.58
RM19-2635,CLA,HIF 5,2020,1,7,19,p,40,G,1,30,1568.6,14.4,2.5,42.22,22.16
RM19-2635,CLA,HIF 5,2020,2,7,40,p,41,G,1.5,33,1818.3,14,2.5,43.05,21.41
RM19-2635,CLA,HIF 5,2020,3,7,88,p,45,G,NA,NA,1361.1,13.5,NA,44.34,20.93
RM19-2647,CLA,HIF 5,2020,1,8,7,p,40,S,2,NA,1246.9,15.6,3.5,48.31,19.85
RM19-2647,CLA,HIF 5,2020,2,8,52,p,39,S,2,NA,1216.3,15,3,47.78,20.06
RM19-2647,CLA,HIF 5,2020,3,8,78,p,39,S,NA,NA,1077.7,16.7,NA,49.08,19.99
RM19-2655,CLA,HIF 5,2020,1,9,1,p,39,T,1.5,32,1561.4,13.7,2.5,43.3,22.43
RM19-2655,CLA,HIF 5,2020,2,9,36,p,48,T,2,37,1447.9,14.8,3,43.92,22.97
RM19-2655,CLA,HIF 5,2020,3,9,81,p,45,T,NA,NA,1131.4,13.3,NA,44.33,22.35
RM19-2656,CLA,HIF 5,2020,1,10,15,p,39,T,2,36,1249.4,13.6,2.5,47.08,21.44
RM19-2656,CLA,HIF 5,2020,2,10,60,p,39,T,1.5,30,1328.4,12.9,2,44.67,22.77
RM19-2656,CLA,HIF 5,2020,3,10,79,p,42,T,NA,NA,860.1,12,NA,47.66,20.27
RM19-2658,CLA,HIF 5,2020,1,11,21,p,40,T,1.5,32,1297.3,13.1,2.5,43,23.63
RM19-2658,CLA,HIF 5,2020,2,11,44,p,48,T,1.5,33,1182,13.1,3,44.77,21.67
RM19-2658,CLA,HIF 5,2020,3,11,64,p,46,T,NA,NA,1125.1,13.6,NA,44.58,21.9
RM19-2665,CLA,HIF 5,2020,1,12,2,p,39,T,1.5,32,1136.5,13.2,2.5,43.41,22.48
RM19-2665,CLA,HIF 5,2020,2,12,58,p,42,T,1.5,30,1198.6,13,3,44.02,22.41
RM19-2665,CLA,HIF 5,2020,3,12,73,p,47,T,NA,NA,1290.3,13.7,NA,45.45,21.55
RM19-2673,CLA,HIF 5,2020,1,13,23,p,39,G,1.5,25,1229.3,15.7,2.5,42.62,22.91
RM19-2673,CLA,HIF 5,2020,2,13,45,p,49,G,1.5,26,969.3,14.9,4,43.98,21.18
RM19-2673,CLA,HIF 5,2020,3,13,75,p,48,G,NA,NA,1209.2,15.7,NA,43.39,22.36
RM19-2674,CLA,HIF 5,2020,1,14,26,p,48,G,1.5,26,1242.5,16.5,3,43.82,22.21
RM19-2674,CLA,HIF 5,2020,2,14,57,p,45,G,1.5,25,1298.4,15.3,3,43.26,22.08
RM19-2674,CLA,HIF 5,2020,3,14,63,p,42,G,NA,NA,1413,16.7,NA,42.37,22.59
RM19-2676,CLA,HIF 5,2020,1,15,18,p,48,G,1.5,26,1055.4,14.8,4,44.29,21.12
RM19-2676,CLA,HIF 5,2020,2,15,47,p,41,G,1.5,28,1277.2,15.2,3.5,42.53,22.44
RM19-2676,CLA,HIF 5,2020,3,15,85,p,40,G,NA,NA,1278,14.6,NA,42.95,21.89
RM19-2682,CLA,HIF 5,2020,1,16,27,p,39,G,1.5,27,1085.6,14.7,3.5,46.43,20.66
RM19-2682,CLA,HIF 5,2020,2,16,41,p,45,G,1.5,28,1094.1,14.7,4,47.24,20.19
RM19-2682,CLA,HIF 5,2020,3,16,89,p,41,G,NA,NA,657.3,12.9,NA,47.91,19.41
RM19-2700,CLA,HIF 5,2020,1,17,30,p,33,T,2,32,1234.7,16.3,2.5,48.43,21.07
RM19-2700,CLA,HIF 5,2020,2,17,38,p,33,T,2.5,35,1009.9,14.8,3,47.92,21.66
RM19-2700,CLA,HIF 5,2020,3,17,68,p,34,T,NA,NA,1062.6,14.9,NA,49.38,19.9
RM19-2701,CLA,HIF 5,2020,1,18,17,p,39,T,2.5,31,1326.1,15.5,3,47.79,21.67
RM19-2701,CLA,HIF 5,2020,2,18,46,p,38,T,2.5,38,1341.3,15.1,3.5,48.09,21.47
RM19-2701,CLA,HIF 5,2020,3,18,84,p,40,T,NA,NA,955,14.6,NA,48.91,20.53
RM19-2705,CLA,HIF 5,2020,1,19,14,p,41,T,2.5,26,1233.2,15.5,2.5,48.34,20.76
RM19-2705,CLA,HIF 5,2020,2,19,50,p,36,T,3,31,1272.6,14.9,2,47.75,20.92
RM19-2705,CLA,HIF 5,2020,3,19,62,p,39,T,NA,NA,756,14.9,NA,47.79,20.97
RM19-2708,CLA,HIF 5,2020,1,20,20,p,36,T,2,33,1142.1,16,2,48.18,21.37
RM19-2708,CLA,HIF 5,2020,2,20,56,p,40,T,3,34,1475.8,15,2,47.86,21.08
RM19-2708,CLA,HIF 5,2020,3,20,66,p,39,T,NA,NA,1092.6,16,NA,48.84,21.02
RM19-2712,CLA,HIF 5,2020,1,21,6,p,39,T,1.5,34,1396.8,15.4,3,42.05,23.1
RM19-2712,CLA,HIF 5,2020,2,21,55,p,38,T,2,31,1537.1,16,2.5,40.89,23.93
RM19-2712,CLA,HIF 5,2020,3,21,76,p,39,T,NA,NA,1436.2,16.1,NA,43.39,23.15
RM19-2722,CLA,HIF 5,2020,1,22,12,p,39,G,1.5,30,1422.8,15.1,2.5,45.43,21.32
RM19-2722,CLA,HIF 5,2020,2,22,54,p,38,G,1.5,35,1303.8,14.7,3,45.97,21.71
RM19-2722,CLA,HIF 5,2020,3,22,90,p,39,G,NA,NA,773.4,11.6,NA,45.77,20.04
RM19-2729,CLA,HIF 5,2020,1,23,3,p,41,G,3,37,865.8,13.8,2.5,47.23,20.77
RM19-2729,CLA,HIF 5,2020,2,23,48,p,39,G,2.5,48,1122.5,13.1,2.5,47.76,20.2
RM19-2729,CLA,HIF 5,2020,3,23,82,p,41,G,NA,NA,778.7,13.6,NA,48.03,20.04
RM19-2731,CLA,HIF 5,2020,1,24,24,p,38,G,2.5,50,1302.8,15.1,3,44.91,21.07
RM19-2731,CLA,HIF 5,2020,2,24,51,p,39,G,2.5,47,917.6,14.3,2,42.75,21.93
RM19-2731,CLA,HIF 5,2020,3,24,72,p,43,G,NA,NA,1027.6,15.9,NA,44.06,21.54
RM19-2733,CLA,HIF 5,2020,1,25,5,p,42,G,2,49,1015,16.6,2.5,44.98,21.77
RM19-2733,CLA,HIF 5,2020,2,25,32,p,38,G,2,45,954.1,14.4,2.5,44.13,21.29
RM19-2733,CLA,HIF 5,2020,3,25,80,p,42,G,NA,NA,1220.1,15.3,NA,44.89,21.81
RM19-2734,CLA,HIF 5,2020,1,26,4,p,41,G,2.5,47,1553.9,13.6,3,48.55,20.08
RM19-2734,CLA,HIF 5,2020,2,26,59,p,39,G,2.5,45,967.1,14,1.5,48.17,19.74
RM19-2734,CLA,HIF 5,2020,3,26,71,p,39,G,NA,NA,874.4,13.3,NA,46.99,20.3
RM19-2736,CLA,HIF 5,2020,1,27,28,p,48,G,2.5,47,773.9,12.2,4,46.99,19.69
RM19-2736,CLA,HIF 5,2020,2,27,34,p,41,G,3,48,998.7,13.1,3.5,47.11,20.27
RM19-2736,CLA,HIF 5,2020,3,27,65,p,38,G,NA,NA,1154.5,14.1,NA,48.06,20.34
Ellis,CLA,HIF 5,2020,1,29,10,w,45,G,1.5,30,1631.2,12.6,2,42.17,21.31
Ellis,CLA,HIF 5,2020,2,29,49,w,40,G,1.5,28,1106.8,11.5,2.5,41.7,21.17
Ellis,CLA,HIF 5,2020,3,29,67,w,41,G,NA,NA,1354.8,11.8,NA,42.85,21.47
Osage,CLA,HIF 5,2020,1,30,11,p,43,G,1.5,31,1827.2,13.7,1.5,44.62,20.71
Osage,CLA,HIF 5,2020,2,30,31,p,44,G,1.5,31,1553.9,13.8,2,45.1,21.07
Osage,CLA,HIF 5,2020,3,30,74,p,42,G,NA,NA,1646.4,12.9,NA,46.84,20.01
RM19-2657,CAS,HIF 6,2020,1,1,18,P,8,t,1,30,1273.5,15,NA,43.85,22.97
RM19-2657,CAS,HIF 6,2020,2,1,43,P,8,t,1,25,1060,14.5,NA,43.62,23.26
RM19-2657,CAS,HIF 6,2020,3,1,90,P,NA,t,NA,NA,1314.1,15.4,NA,43.37,22.4
RM19-2678,CAS,HIF 6,2020,1,2,14,P,8,g,1,25,1056.1,18,NA,46.51,21.34
RM19-2678,CAS,HIF 6,2020,2,2,60,P,8,g,1,23,1144.4,15.4,NA,46.53,21.4
RM19-2678,CAS,HIF 6,2020,3,2,76,P,NA,g,NA,NA,1084.9,15.7,NA,46.46,21.59
RM19-2686,CAS,HIF 6,2020,1,3,2,P,8,g,1,30,1310.7,15.5,NA,43.83,21.24
RM19-2686,CAS,HIF 6,2020,2,3,45,P,8,g,1,30,1121.5,15.1,NA,42.87,21.93
RM19-2686,CAS,HIF 6,2020,3,3,69,P,NA,g,NA,NA,1171,15.9,NA,44.41,22.06
RM19-2688,CAS,HIF 6,2020,1,4,13,P,8,t,1,29,1035.4,16,NA,43.53,23
RM19-2688,CAS,HIF 6,2020,2,4,37,P,8,t,1,28,954.3,16.2,NA,42.89,23.58
RM19-2688,CAS,HIF 6,2020,3,4,70,P,NA,t,NA,NA,1090.6,16.3,NA,43.67,23.19
RM19-2690,CAS,HIF 6,2020,1,5,27,P,8,g,1,32,1075.6,15.7,NA,48.1,20.65
RM19-2690,CAS,HIF 6,2020,2,5,59,P,8,g,1,29,1039.8,14.4,NA,47.35,21.05
RM19-2690,CAS,HIF 6,2020,3,5,86,P,NA,g,NA,NA,1156.7,14.3,NA,47.69,20.23
RM19-2691,CAS,HIF 6,2020,1,6,4,P,8,g,1,35,1150.1,14.2,NA,48.07,20.2
RM19-2691,CAS,HIF 6,2020,2,6,35,P,8,g,1,33,1082.9,15.5,NA,48.99,19.82
RM19-2691,CAS,HIF 6,2020,3,6,62,P,NA,g,NA,NA,1251.9,15.6,NA,49.05,20.14
RM19-2696,CAS,HIF 6,2020,1,7,15,P,8,g,1.5,43,1244,16.7,NA,41.85,22.65
RM19-2696,CAS,HIF 6,2020,2,7,42,P,8,g,1.5,45,1216,17,NA,42.67,22.94
RM19-2696,CAS,HIF 6,2020,3,7,88,P,NA,g,NA,NA,1348.2,17.6,NA,42.34,22.25
RM19-2697,CAS,HIF 6,2020,1,8,5,P,8,g,1.5,42,1131.2,17.7,NA,42.56,22.48
RM19-2697,CAS,HIF 6,2020,2,8,33,P,8,g,1.5,42,1306.1,18.7,NA,41.15,23.37
RM19-2697,CAS,HIF 6,2020,3,8,74,P,NA,g,NA,NA,1338.4,17.5,NA,42.43,22.31
RM19-2713,CAS,HIF 6,2020,1,9,28,P,8,t,1,25,810.5,17.1,NA,43.25,22.73
RM19-2713,CAS,HIF 6,2020,2,9,54,P,8,t,1,24,742,15.6,NA,41.99,23.66
RM19-2713,CAS,HIF 6,2020,3,9,73,P,NA,t,NA,NA,920.1,16.5,NA,42.55,23.32
RM19-2714,CAS,HIF 6,2020,1,10,8,P,8,t,1.5,29,1004,15.7,NA,42.95,22.67
