genotype,loc,test,year,rep,code,plot,fc,md,pub,lod,ht,yield,sdwt,sq,protein_dry_basis,oil_dry_basis
N19-0231,PLY,LP 5E,2020,1,25,8,s,41,lt,2,18,877.7,13.6,2.5,42.05,23.25
N19-0231,PLY,LP 5E,2020,2,25,82,s,41,t,2.5,27,1341.7,13.8,2.5,41.83,23.62
N19-0231,PLY,LP 5E,2020,3,25,95,s,NA,lt,2,29,1103.8,13.5,NA,42.86,23.18
N19-0232,PLY,LP 5E,2020,1,26,21,w,41,lt,1.5,28,1198.9,12.7,2.5,41.99,22.83
N19-0232,PLY,LP 5E,2020,2,26,61,w,41,lt,1,28,1177.5,13.3,2.5,41.89,22.78
N19-0232,PLY,LP 5E,2020,3,26,93,w,NA,lt,1,26,1030.4,11.9,NA,43.07,22.38
N19-0238,PLY,LP 5E,2020,1,27,36,p,41,lt,1.5,25,1229.1,13.7,2,44.56,21.25
N19-0238,PLY,LP 5E,2020,2,27,81,p,41,lt,1,27,1049.9,13,2,44.33,22.05
N19-0238,PLY,LP 5E,2020,3,27,114,p,NA,lt,1.5,26,1108.9,14.7,NA,44.82,21.37
N19-0255,PLY,LP 5E,2020,1,28,41,p,46,t,1,22,983.4,12.3,2,46.63,20.98
N19-0255,PLY,LP 5E,2020,2,28,88,p,44,t,1,22,1214.7,13.1,2,47.69,20.42
N19-0255,PLY,LP 5E,2020,3,28,104,p,NA,t,1.5,23,1070.4,12.2,NA,47.69,20.14
N19-0256,PLY,LP 5E,2020,1,29,13,p,53,t,1.5,24,855.1,12.3,2.5,47.22,20.71
N19-0256,PLY,LP 5E,2020,2,29,80,p,44,t,1.5,22,1108.3,12.4,2,46.22,21.29
N19-0256,PLY,LP 5E,2020,3,29,122,p,NA,t,1.5,26,1116.9,11.6,NA,47.84,21.06
N19-0280,PLY,LP 5E,2020,1,30,42,p,36,lt,2,18,945.1,14,2,42.29,24.58
N19-0280,PLY,LP 5E,2020,2,30,76,p,36,lt,2,22,934.9,12.4,2,43.63,24.14
N19-0280,PLY,LP 5E,2020,3,30,121,p,NA,lt,2,22,962.6,12.5,NA,43.44,23.93
N19-0367,PLY,LP 5E,2020,1,31,25,w,39,g,1.5,24,883.9,14.5,2,42.45,23.95
N19-0367,PLY,LP 5E,2020,2,31,73,w,38,g,1.5,25,1196.4,14.8,2,42.55,24.08
N19-0367,PLY,LP 5E,2020,3,31,92,w,NA,g,2,26,1151.4,14.7,NA,42.44,24.8
N19-0383,PLY,LP 5E,2020,1,32,16,s,44,lt,1,22,754.1,11.5,2,41.42,22.58
N19-0383,PLY,LP 5E,2020,2,32,89,s,45,lt,1.5,30,1191.1,11.7,2,41.41,22.94
N19-0383,PLY,LP 5E,2020,3,32,100,s,NA,t,1,23,1025.4,11.9,NA,41.27,22.84
N19-0434,PLY,LP 5E,2020,1,33,15,p,60,t,2,42,856.2,14.2,3,49.71,18.14
N19-0434,PLY,LP 5E,2020,2,33,64,p,56,t,2.5,47,1152.6,13.9,2,48.6,19.65
N19-0434,PLY,LP 5E,2020,3,33,103,p,NA,t,2.5,44,743.2,13.2,NA,50.83,18.28
N19-0493,PLY,LP 5E,2020,1,34,9,w,45,g,1.5,24,976,11.9,2.5,47.07,20.1
N19-0493,PLY,LP 5E,2020,2,34,70,w,41,g,1.5,28,1138.2,11.4,2,45.72,21.81
N19-0493,PLY,LP 5E,2020,3,34,133,w,NA,g,1.5,28,1052,11.8,NA,45.95,21.75
N19-0525,PLY,LP 5E,2020,1,35,32,w,46,g,1.5,32,1120.3,12.2,4,49,20.9
N19-0525,PLY,LP 5E,2020,2,35,84,w,56,g,1.5,30,1063,12.3,3.5,48.5,20.32
N19-0525,PLY,LP 5E,2020,3,35,128,w,NA,g,1.5,30,738.4,10.3,NA,47.84,19.57
N19-0573,PLY,LP 5E,2020,1,36,26,p,48,t,1.5,24,1025.3,10.1,NA,46.08,20.7
N19-0573,PLY,LP 5E,2020,2,36,83,p,45,t,1,28,1255.2,10.7,2,44.96,21.59
N19-0573,PLY,LP 5E,2020,3,36,129,p,NA,t,1.5,26,1188,11,NA,45.5,20.84
N19-1097,PLY,LP 5E,2020,1,37,22,p,44,t,2,31,1530.8,14.2,1.5,45.4,21.99
N19-1097,PLY,LP 5E,2020,2,37,90,p,46,t,1.5,29,1218.3,13.7,2,45.9,21.23
N19-1097,PLY,LP 5E,2020,3,37,118,p,NA,t,1.5,32,1220.3,14.5,NA,46.66,21.39
N19-1103,PLY,LP 5E,2020,1,38,33,w,46,t,1.5,24,1202.6,11.3,2.5,46.25,20.55
N19-1103,PLY,LP 5E,2020,2,38,53,w,45,t,1,22,384.2,11.5,2,46.97,20.39
N19-1103,PLY,LP 5E,2020,3,38,117,w,NA,t,1.5,24,1238.1,12.7,NA,45.5,21.44
N19-1128,PLY,LP 5E,2020,1,39,40,w,46,t,2.5,50,1182.1,14.7,2,43.42,22.02
N19-1128,PLY,LP 5E,2020,2,39,75,w,48,t,2,49,1108.2,14.4,2,45.43,21.43
N19-1128,PLY,LP 5E,2020,3,39,108,w,NA,t,2,54,1150.8,14,NA,43.14,22.56
N19-1455,PLY,LP 5E,2020,1,40,7,p,54,g,1.5,20,896.6,13.3,3,45.02,19.41
N19-1455,PLY,LP 5E,2020,2,40,58,p,48,g,1.5,26,1002.5,12.5,2,46.16,19.04
N19-1455,PLY,LP 5E,2020,3,40,132,p,NA,g,1.5,31,1326.7,14.9,NA,45.33,19.95
Ellis,PLY,LP 5E,2020,1,41,35,w,46,g,1,24,899.2,11.3,2.5,43.36,21.19
Ellis,PLY,LP 5E,2020,2,41,52,w,43,g,1.5,20,1445.8,11.1,2,41.59,21.6
Ellis,PLY,LP 5E,2020,3,41,107,w,NA,g,1,26,1151.6,10.3,NA,42.78,21.14
Osage,PLY,LP 5E,2020,1,42,11,p,45,g,1.5,22,1363.5,12.4,2,46.01,21.18
Osage,PLY,LP 5E,2020,2,42,85,p,45,g,1,26,1067.8,12.1,2,47.19,20.16
Osage,PLY,LP 5E,2020,3,42,101,p,NA,g,1,24,935.1,10.2,NA,46.09,20.76
Miller,PLY,LP 5E,2020,1,43,23,p,45,g,1.5,24,706.6,14.7,2,40.43,23.13
Miller,PLY,LP 5E,2020,2,43,74,p,55,g,1.5,26,1256.1,15.8,2,44.1,21.42
Miller,PLY,LP 5E,2020,3,43,113,p,NA,g,1,24,1124.7,14.5,NA,41.4,22.94
N16-601,PLY,LP 5E,2020,1,44,2,p,43,g,1,20,904.4,14.2,2.5,45.27,22.06
N16-601,PLY,LP 5E,2020,2,44,72,p,41,g,1.5,28,1240.5,13,2,44.16,22.94
N16-601,PLY,LP 5E,2020,3,44,124,p,NA,g,1.5,24,1200.1,13.6,NA,44.56,22.31
N16-599,PLY,LP 5E,2020,1,45,43,p,43,t,2,26,1069.1,15.7,2,49.72,19.65
N16-599,PLY,LP 5E,2020,2,45,62,p,44,t,2,30,1311.1,14.8,2,47.94,19.86
N16-599,PLY,LP 5E,2020,3,45,115,p,NA,t,2.5,28,1104.8,15.4,NA,49.83,19.63
N19-0091,CAS,LP 5L,2020,1,1,27,W,28,t,NA,37,1429.1,18.1,1.5,47.22,20.78
N19-0091,CAS,LP 5L,2020,2,1,88,W,29,t,NA,37,921.2,19.2,1.5,48.84,20.28
N19-0091,CAS,LP 5L,2020,3,1,101,W,NA,.,NA,NA,774.4,18.4,NA,49.03,19.49
N19-0126,CAS,LP 5L,2020,1,2,35,P,30,t,NA,36,1068,20.1,1.5,48.25,20.64
N19-0126,CAS,LP 5L,2020,2,2,59,P,28,t,NA,45,888.2,19.8,1.5,49.48,19.26
N19-0126,CAS,LP 5L,2020,3,2,141,P,NA,.,NA,NA,501.9,18.3,NA,49.47,18.91
N19-0127,CAS,LP 5L,2020,1,3,48,w,23,t,NA,35,1283.3,18.6,1.5,49.68,20.95
N19-0127,CAS,LP 5L,2020,2,3,68,W,23,t,NA,35,874.2,20.4,1.5,48.42,20.71
N19-0127,CAS,LP 5L,2020,3,3,125,W,NA,.,NA,NA,1072,20.7,NA,47.49,20.87
N19-0182,CAS,LP 5L,2020,1,4,29,P,27,g,NA,37,1174.4,19.2,1.5,45.47,21
N19-0182,CAS,LP 5L,2020,2,4,69,P,26,g,NA,36,832.5,20,1.5,47.02,19.53
N19-0182,CAS,LP 5L,2020,3,4,129,P,NA,.,NA,NA,773.7,19.2,NA,45.76,19.95
N19-0185,CAS,LP 5L,2020,1,5,39,W,25,t,NA,33,931.6,17,1.5,46.91,21.64
N19-0185,CAS,LP 5L,2020,2,5,81,W,27,t,NA,34,764.9,18.3,1.5,46.88,20.95
N19-0185,CAS,LP 5L,2020,3,5,121,W,NA,.,NA,NA,450,18.2,NA,47.15,21.14
N19-0191,CAS,LP 5L,2020,1,6,46,p,26,g,NA,43,1049.3,18.5,1.5,44.33,21.82
N19-0191,CAS,LP 5L,2020,2,6,52,P,27,g,NA,44,859.4,17.8,1.5,45.74,20.71
N19-0191,CAS,LP 5L,2020,3,6,150,P,NA,.,NA,NA,412.7,17.7,NA,45.1,19.94
N19-0213,CAS,LP 5L,2020,1,7,7,w,26,g,NA,37,1397.3,15,1.5,48.08,19.15
N19-0213,CAS,LP 5L,2020,2,7,66,w,27,g,NA,36,828.4,14.4,1.5,47.21,19.73
N19-0213,CAS,LP 5L,2020,3,7,111,W,NA,.,NA,NA,627.2,14.9,NA,48.69,18.7
N19-0227,CAS,LP 5L,2020,1,8,13,P,25,g,NA,34,1054.7,18.3,1.5,46.16,19.91
N19-0227,CAS,LP 5L,2020,2,8,74,P,25,g,NA,36,1115.5,18.9,1.5,45.87,19.81
N19-0227,CAS,LP 5L,2020,3,8,123,P,NA,.,NA,NA,788.2,18.8,NA,47.3,20.05
N19-0228,CAS,LP 5L,2020,1,9,3,W,25,g,NA,32,874.6,16.5,1.5,47.24,19.62
N19-0228,CAS,LP 5L,2020,2,9,77,W,27,g,NA,32,837.3,18,1.5,46.34,19.91
N19-0228,CAS,LP 5L,2020,3,9,135,W,NA,.,NA,NA,986.2,17.8,NA,46.27,20.83
N19-0230,CAS,LP 5L,2020,1,10,19,W,24,g,NA,29,997.8,17.2,1.5,46.37,22.43
N19-0230,CAS,LP 5L,2020,2,10,94,W,26,g,NA,33,680.9,18.5,1.5,45.59,22.75
N19-0230,CAS,LP 5L,2020,3,10,147,W,NA,.,NA,NA,939.7,17.5,NA,46.11,22.53
N19-0236,CAS,LP 5L,2020,1,11,40,P,26,t,NA,37,913.2,17.6,1.5,46.7,20.73
N19-0236,CAS,LP 5L,2020,2,11,75,P,28,t,NA,35,597.4,19.8,1.5,46.33,20.89
N19-0236,CAS,LP 5L,2020,3,11,108,P,NA,.,NA,NA,325.3,19.4,NA,46.28,21.41
N19-0392,CAS,LP 5L,2020,1,12,10,p,25,g,NA,38,1064.9,16.4,1.5,45.14,21.68
N19-0392,CAS,LP 5L,2020,2,12,64,P,25,g,NA,34,1063.9,17,1.5,45.27,21.89
N19-0392,CAS,LP 5L,2020,3,12,140,P,NA,.,NA,NA,656.5,17.8,NA,46.8,20.65
N19-0398,CAS,LP 5L,2020,1,13,4,P,26,t,NA,39,1303.9,17.6,1.5,47.69,19.63
N19-0398,CAS,LP 5L,2020,2,13,51,P,29,t,NA,38,870,18.4,2,49.58,18.49
N19-0398,CAS,LP 5L,2020,3,13,128,P,NA,.,NA,NA,1048.4,17.3,NA,46.94,19.49
N19-0463,CAS,LP 5L,2020,1,14,42,p,27,t,NA,37,1303.6,17.9,1.5,47.75,18.69
N19-0463,CAS,LP 5L,2020,2,14,58,p,29,t,NA,40,1104,17.8,1.5,47.5,18.43
N19-0463,CAS,LP 5L,2020,3,14,143,p,NA,.,NA,NA,1150.7,18.1,NA,47.74,19.64
N19-0489,CAS,LP 5L,2020,1,15,23,P,27,t,NA,52,940.4,19,2.5,48.59,20.96
N19-0489,CAS,LP 5L,2020,2,15,62,P,33,t,NA,46,733.6,20.2,2,48.52,20.84
N19-0489,CAS,LP 5L,2020,3,15,106,M,NA,.,NA,NA,545.2,20.3,NA,48.4,21.21
N19-0497,CAS,LP 5L,2020,1,16,12,w,25,t,NA,37,1215.7,17.9,1.5,45.72,22.34
N19-0497,CAS,LP 5L,2020,2,16,89,w,28,t,NA,36,789.6,19.7,1.5,47.49,20.81
N19-0497,CAS,LP 5L,2020,3,16,113,w,NA,.,NA,NA,769,17.8,NA,45.06,22.08
N19-0503,CAS,LP 5L,2020,1,17,25,p,27,g,NA,34,1257.1,16.2,1.5,42.22,22.72
N19-0503,CAS,LP 5L,2020,2,17,53,p,27,g,NA,34,823.5,16.3,1.5,43.64,22.41
N19-0503,CAS,LP 5L,2020,3,17,148,p,NA,.,NA,NA,639.9,17.6,NA,44.01,22.15
N19-0507,CAS,LP 5L,2020,1,18,31,P,28,g,NA,44,709.5,18.7,1.5,45.53,20.53
N19-0507,CAS,LP 5L,2020,2,18,70,P,29,g,NA,52,717.3,18.3,1.5,45.67,20.37
N19-0507,CAS,LP 5L,2020,3,18,139,P,NA,.,NA,NA,606.6,17.8,NA,44.13,21.74
N19-0526,CAS,LP 5L,2020,1,19,24,P,27,g,NA,44,1148.6,13.4,1.5,48.36,19.81
N19-0526,CAS,LP 5L,2020,2,19,61,P,27,g,NA,42,896.4,14,1.5,48.72,19.34
N19-0526,CAS,LP 5L,2020,3,19,134,p,NA,.,NA,NA,1161.5,13.9,NA,47.58,20.46
N19-0540,CAS,LP 5L,2020,1,20,17,W,25,g,NA,34,1332.6,17.4,1.5,46.9,19.48
N19-0540,CAS,LP 5L,2020,2,20,83,W,27,g,NA,34,1123,16.9,1.5,44.88,20.47
N19-0540,CAS,LP 5L,2020,3,20,145,W,NA,.,NA,NA,1333.4,16.6,NA,45.46,20.58
N19-0545,CAS,LP 5L,2020,1,21,11,W,26,g,NA,36,1027.6,16.9,2,46.67,21.21
N19-0545,CAS,LP 5L,2020,2,21,60,W,27,g,NA,34,944,17.4,2,47.29,20.84
N19-0545,CAS,LP 5L,2020,3,21,110,W,NA,.,NA,NA,586.6,18.9,NA,46.94,20.56
N19-0553,CAS,LP 5L,2020,1,22,37,p,25,t,NA,36,1280,17.1,1.5,47.29,20.69
N19-0553,CAS,LP 5L,2020,2,22,71,P,27,t,NA,35,822.9,17.1,2,48.12,19.83
N19-0553,CAS,LP 5L,2020,3,22,109,P,NA,.,NA,NA,741.1,16.9,NA,46.63,20.73
N19-0555,CAS,LP 5L,2020,1,23,28,w,27,t,NA,34,1355.7,17.5,1.5,43.93,21.24
N19-0555,CAS,LP 5L,2020,2,23,93,w,28,t,NA,38,865.3,19.4,1.5,44.06,21.11
N19-0555,CAS,LP 5L,2020,3,23,114,w,NA,.,NA,NA,1092.1,19.8,NA,43.7,22.09
N19-0563,CAS,LP 5L,2020,1,24,22,W,29,t,NA,28,1033.3,16.2,2,44.61,21.48
N19-0563,CAS,LP 5L,2020,2,24,56,W,29,t,NA,32,1070.6,15,2,44.59,21.97
N19-0563,CAS,LP 5L,2020,3,24,142,w,NA,.,NA,NA,603.5,15.9,NA,45.6,20.51
N19-0809,CAS,LP 5L,2020,1,25,30,W,29,t,NA,39,1107.5,17.9,1.5,48.51,17.98
N19-0809,CAS,LP 5L,2020,2,25,99,w,36,t,NA,36,866.7,17.2,1.5,47.52,18.36
N19-0809,CAS,LP 5L,2020,3,25,136,W,NA,.,NA,NA,1216.2,16.6,NA,45.8,18.86
N19-0811,CAS,LP 5L,2020,1,26,8,s,27,t,NA,42,1241.2,16,1.5,46.06,19.93
N19-0811,CAS,LP 5L,2020,2,26,95,s,28,t,NA,39,1328.7,15.7,1.5,46.1,20.23
N19-0811,CAS,LP 5L,2020,3,26,122,m,NA,.,NA,NA,1021,15.9,NA,45.1,20.18
N19-0830,CAS,LP 5L,2020,1,27,44,w,23,t,NA,34,1453.7,17.4,1.5,43.93,22.91
N19-0830,CAS,LP 5L,2020,2,27,55,W,25,t,NA,32,1326.1,17.9,1.5,43.82,22.69
N19-0830,CAS,LP 5L,2020,3,27,107,W,NA,.,NA,NA,1188.9,18.3,NA,43.34,22.63
N19-0833,CAS,LP 5L,2020,1,28,15,w,26,t,NA,35,210.9,15.3,1.5,45.15,21.41
N19-0833,CAS,LP 5L,2020,2,28,54,w,28,t,NA,33,1407.2,14.7,1.5,46.02,20.75
N19-0833,CAS,LP 5L,2020,3,28,131,w,NA,.,NA,NA,886.2,14.1,NA,46.03,20.43
N19-0880,CAS,LP 5L,2020,1,29,14,W,27,t,NA,42,1102.4,16.6,1.5,47.48,20.2
N19-0880,CAS,LP 5L,2020,2,29,87,W,29,t,NA,40,996.7,18.1,1.5,48.18,19.17
N19-0880,CAS,LP 5L,2020,3,29,144,W,NA,.,NA,NA,1073.2,17.5,NA,47.65,19.52
N19-1081,CAS,LP 5L,2020,1,30,26,W,27,t,NA,32,1229.9,14.9,1.5,44.69,21.63
N19-1081,CAS,LP 5L,2020,2,30,72,W,28,t,NA,38,988.7,15.1,1.5,46.16,20.84
N19-1081,CAS,LP 5L,2020,3,30,132,w,NA,.,NA,NA,973.2,14.3,NA,45.74,20.91
N19-1087,CAS,LP 5L,2020,1,31,45,w,28,t,NA,34,703,17.2,1.5,45.96,20.7
N19-1087,CAS,LP 5L,2020,2,31,84,w,28,t,NA,39,944.8,16.6,1.5,46.37,20.65
N19-1087,CAS,LP 5L,2020,3,31,126,w,NA,.,NA,NA,967.6,15.6,NA,46.62,20.81
N19-1089,CAS,LP 5L,2020,1,32,32,s,29,t,NA,36,1216.5,17.1,1.5,45.94,20.42
N19-1089,CAS,LP 5L,2020,2,32,100,s,34,t,NA,36,725.6,17.5,1.5,46.94,20.13
N19-1089,CAS,LP 5L,2020,3,32,117,s,NA,.,NA,NA,1186.9,15.9,NA,46.01,20.87
N19-1095,CAS,LP 5L,2020,1,33,20,p,26,t,NA,30,1087.3,15.4,1.5,44.63,21.05
N19-1095,CAS,LP 5L,2020,2,33,67,p,27,t,NA,33,1098.1,15.7,1.5,44.48,20.44
N19-1095,CAS,LP 5L,2020,3,33,115,p,NA,.,NA,NA,1307.4,15.6,NA,44.77,20.62
N19-1113,CAS,LP 5L,2020,1,34,21,w,25,t,NA,32,766.1,14.9,1.5,45.16,20.71
N19-1113,CAS,LP 5L,2020,2,34,86,w,27,t,NA,31,498.6,16.2,1.5,43.56,21.8
N19-1113,CAS,LP 5L,2020,3,34,102,w,NA,.,NA,NA,341.9,15.9,NA,44.61,20.84
N19-1117,CAS,LP 5L,2020,1,35,41,m,29,t,NA,34,862.8,15.7,2,49.19,19.52
N19-1117,CAS,LP 5L,2020,2,35,79,S,29,t,NA,34,684,16.1,2,48.79,20.08
N19-1117,CAS,LP 5L,2020,3,35,133,M,NA,.,NA,NA,807.3,15.1,NA,47.27,20.28
N19-1123,CAS,LP 5L,2020,1,36,18,P,25,t,NA,31,864.2,16.4,1.5,43.55,22.03
N19-1123,CAS,LP 5L,2020,2,36,92,P,27,t,NA,30,467.5,17,1.5,46.36,20.45
N19-1123,CAS,LP 5L,2020,3,36,138,P,NA,.,NA,NA,593.7,16.9,NA,44.47,21.54
N19-1213,CAS,LP 5L,2020,1,37,49,p,NA,.,NA,NA,444.4,13.9,2,48.31,19.12
N19-1213,CAS,LP 5L,2020,2,37,82,P,NA,.,NA,NA,231,15.7,2.5,49.4,18.09
N19-1213,CAS,LP 5L,2020,3,37,127,P,NA,.,NA,NA,632.3,15.7,NA,48.9,19.3
N19-1221,CAS,LP 5L,2020,1,38,38,W,27,g,NA,36,1076.5,14.6,2,42.62,21.76
N19-1221,CAS,LP 5L,2020,2,38,57,W,27,g,NA,35,960.7,14.9,1.5,43.48,21.1
N19-1221,CAS,LP 5L,2020,3,38,120,W,NA,.,NA,NA,555.3,15.9,NA,44.7,20.06
N19-1222,CAS,LP 5L,2020,1,39,34,W,NA,.,NA,NA,624.6,18.2,2.5,43.18,22.37
N19-1222,CAS,LP 5L,2020,2,39,80,W,NA,.,NA,NA,233.2,18.1,2,44.93,20.46
N19-1222,CAS,LP 5L,2020,3,39,116,W,NA,.,NA,NA,655.7,18.7,NA,44.22,22.23
N19-1240,CAS,LP 5L,2020,1,40,33,w,25,g,NA,37,874.5,13.3,1.5,44.05,20.2
N19-1240,CAS,LP 5L,2020,2,40,65,w,25,g,NA,40,739.6,14.8,1.5,42.95,20.67
N19-1240,CAS,LP 5L,2020,3,40,118,w,NA,.,NA,NA,655.8,16.5,NA,43.05,20.72
N19-1345,CAS,LP 5L,2020,1,41,47,w,25,g,NA,33,1316.8,15.5,2,46.22,20.93
N19-1345,CAS,LP 5L,2020,2,41,78,W,28,g,NA,34,959.7,16.3,2.5,47.23,20.19
N19-1345,CAS,LP 5L,2020,3,41,149,w,NA,.,NA,NA,813.3,16.1,NA,46.72,20.92
N19-1390,CAS,LP 5L,2020,1,42,1,W,26,t,NA,37,1247.1,17.6,1.5,45.91,21.23
N19-1390,CAS,LP 5L,2020,2,42,90,W,27,t,NA,32,709.1,18.4,1.5,45.56,21.12
N19-1390,CAS,LP 5L,2020,3,42,119,W,NA,.,NA,NA,418,19.7,NA,46.83,20.72
N19-1399,CAS,LP 5L,2020,1,43,16,w,26,t,NA,33,1092.2,14.9,1.5,45.28,20.71
N19-1399,CAS,LP 5L,2020,2,43,96,W,26,t,NA,34,972.4,14.5,1.5,46.06,20.13
N19-1399,CAS,LP 5L,2020,3,43,103,w,NA,.,NA,NA,735.5,15.5,NA,45.65,20.78
N19-1457,CAS,LP 5L,2020,1,44,5,W,25,g,NA,33,1346,15.4,1.5,45.02,21.07
N19-1457,CAS,LP 5L,2020,2,44,85,w,26,g,NA,32,660.6,17.1,2,44.43,20.99
N19-1457,CAS,LP 5L,2020,3,44,130,W,NA,.,NA,NA,622.1,16.6,NA,44.8,19.84
N19-1458,CAS,LP 5L,2020,1,45,43,w,23,g,NA,38,1152.6,15.2,1.5,45.39,20.97
N19-1458,CAS,LP 5L,2020,2,45,76,W,25,g,NA,38,944.8,17.6,1.5,45.33,20.82
N19-1458,CAS,LP 5L,2020,3,45,124,W,NA,.,NA,NA,946.5,17.5,NA,45.45,21.03
Osage,CAS,LP 5L,2020,1,46,36,P,25,g,NA,32,884.4,15.4,2,46.83,20.63
Osage,CAS,LP 5L,2020,2,46,98,P,27,g,NA,31,556,14.9,2.5,46.7,20.43
Osage,CAS,LP 5L,2020,3,46,105,P,NA,.,NA,NA,586.5,15.5,NA,46.79,20.26
Miller,CAS,LP 5L,2020,1,47,9,P,26,g,NA,32,1077.2,17.3,1.5,42.31,22.56
Miller,CAS,LP 5L,2020,2,47,91,P,28,g,NA,30,582.5,18.3,2,42.19,22.07
Miller,CAS,LP 5L,2020,3,47,146,P,NA,.,NA,NA,1296.8,17.9,NA,42.01,22.15
Dunphy,CAS,LP 5L,2020,1,48,50,P,26,g,NA,33,1192.4,15.7,2,42.86,20.74
Dunphy,CAS,LP 5L,2020,2,48,73,P,25,g,NA,29,977.3,16.6,2,42.05,21.62
Dunphy,CAS,LP 5L,2020,3,48,112,P,NA,.,NA,NA,579.5,16,NA,43.78,20.17
N10-687,CAS,LP 5L,2020,1,49,6,p,26,t,NA,37,1313.7,10.6,1.5,45.08,19.77
N10-687,CAS,LP 5L,2020,2,49,63,p,27,t,NA,38,1064.9,12.7,1.5,44.77,20.06
N10-687,CAS,LP 5L,2020,3,49,104,p,NA,.,NA,NA,1307.8,12.5,NA,44,20.47
N16-590,CAS,LP 5L,2020,1,50,2,P,25,t,NA,32,974.4,15,1.5,47.23,20.39
N16-590,CAS,LP 5L,2020,2,50,97,P,26,t,NA,30,1076.3,16.4,1.5,46.22,21.1
N16-590,CAS,LP 5L,2020,3,50,137,P,NA,.,NA,NA,1069.7,16.8,NA,45.93,21.3
N19-0091,PLY,LP 5L,2020,1,1,29,w,60,t,1,22,1011.3,15.5,2.5,46.76,20.75
N19-0091,PLY,LP 5L,2020,2,1,70,w,57,t,1.5,27,1154.3,15,2,45.72,20.42
N19-0091,PLY,LP 5L,2020,3,1,129,w,56,t,1.5,26,1110.7,15.3,2,45.34,21.12
N19-0126,PLY,LP 5L,2020,1,2,1,p,44,t,2.5,42,1054.6,14.9,3,45.55,21.6
N19-0126,PLY,LP 5L,2020,2,2,65,p,46,t,2.5,27,236.6,18.4,2.5,45.2,21.62
N19-0126,PLY,LP 5L,2020,3,2,137,p,46,t,1.5,40,852,15.7,2,45.56,21.7
N19-0127,PLY,LP 5L,2020,1,3,28,w,38,t,1.5,19,566.4,12.4,2,42.87,23.16
N19-0127,PLY,LP 5L,2020,2,3,51,w,43,t,1.5,24,744.6,13.2,2,47.1,21.13
N19-0127,PLY,LP 5L,2020,3,3,118,w,42,t,1.5,23,947.7,15.3,2,45.45,23.32
N19-0182,PLY,LP 5L,2020,1,4,18,p,36,g,2,22,1184.9,13.3,1.5,42.73,22.86
N19-0182,PLY,LP 5L,2020,2,4,86,p,43,g,1.5,24,1058.9,13.2,2,43.01,22.98
N19-0182,PLY,LP 5L,2020,3,4,141,p,42,g,1.5,24,1258,14,2,44.92,21.63
N19-0185,PLY,LP 5L,2020,1,5,16,w,41,t,1.5,25,1292.4,13.6,1,43.83,23.88
N19-0185,PLY,LP 5L,2020,2,5,68,w,47,t,1.5,24,927.5,14,2,44.99,22.24
N19-0185,PLY,LP 5L,2020,3,5,150,w,45,t,1.5,25,1435.6,14.3,2,45.44,23.27
N19-0191,PLY,LP 5L,2020,1,6,13,p,38,g,1.5,36,1117.3,14.9,2.5,44.43,22.22
N19-0191,PLY,LP 5L,2020,2,6,98,p,36,g,2,32,966,13.4,2,41.26,23.57
N19-0191,PLY,LP 5L,2020,3,6,145,p,38,g,2,36,998.4,13.5,2.5,43.46,22.16
N19-0213,PLY,LP 5L,2020,1,7,17,w,55,g,1,24,782.4,11.9,2,46.87,19.76
N19-0213,PLY,LP 5L,2020,2,7,97,w,59,g,1,26,915.1,11.2,2,45.85,20.31
N19-0213,PLY,LP 5L,2020,3,7,124,w,57,g,1.5,26,697.5,12.3,2,47.11,20.15
N19-0227,PLY,LP 5L,2020,1,8,26,p,46,g,1,20,565.6,11.9,2.5,43.31,21.49
N19-0227,PLY,LP 5L,2020,2,8,93,p,47,g,1,22,805,12.5,2.5,46.12,20.38
N19-0227,PLY,LP 5L,2020,3,8,133,p,46,g,1,22,832.1,12.2,2,43.04,21.85
N19-0228,PLY,LP 5L,2020,1,9,40,w,47,g,1.5,20,653.7,12.6,3,45.73,19.69
N19-0228,PLY,LP 5L,2020,2,9,55,w,NA,.,NA,NA,NA,NA,NA,NA,NA
N19-0228,PLY,LP 5L,2020,3,9,112,w,48,g,1,21,975.6,12.4,2,44.2,22.53
N19-0230,PLY,LP 5L,2020,1,10,6,w,37,g,1,20,908.4,11.1,2,42.76,23.64
N19-0230,PLY,LP 5L,2020,2,10,73,w,44,g,1.5,23,987.8,11,2,43.6,22.93
N19-0230,PLY,LP 5L,2020,3,10,126,w,44,g,1.5,23,603.5,11.4,2,44.18,23.62
N19-0236,PLY,LP 5L,2020,1,11,12,p,45,t,1.5,31,1162.6,14.1,2,44.26,22.08
N19-0236,PLY,LP 5L,2020,2,11,61,p,47,t,1.5,30,1360.4,14.1,NA,43.33,22.14
N19-0236,PLY,LP 5L,2020,3,11,111,p,45,t,2,30,1319.5,13.7,2,44.08,21.78
N19-0392,PLY,LP 5L,2020,1,12,44,p,46,g,1.5,24,188.2,10.7,NA,42.1,22.86
N19-0392,PLY,LP 5L,2020,2,12,81,p,47,g,1.5,30,1195.7,11.3,2,42.57,22.95
N19-0392,PLY,LP 5L,2020,3,12,135,p,47,g,1.5,31,1079.6,11.9,NA,42.67,23.19
N19-0398,PLY,LP 5L,2020,1,13,35,p,47,t,2,22,422.4,12.5,2,43.93,21.67
