test,loc,year,genotype,code,rep,plot,md,ht,lod,oil_dry_basis,protein_dry_basis,yield,sdwt,sq
Jay Test 2,CAS,2020,N18-1659,6,1,2,27,36,4,19.5,48.4,28.0368,15.4,2
Jay Test 2,CAS,2020,N18-1659,6,2,29,26,36,4,19.9,48.95,20.6976,15.9,3
Jay Test 2,CAS,2020,N18-1659,6,3,41,NA,35,3,NA,NA,21.1167,14.8,1.5
Jay Test 2,CAS,2020,N18-1659,6,4,66,NA,34,4,NA,NA,21.8988,NA,NA
Jay Test 2,CAS,2020,N18-1643,7,1,7,28,38,3,20.71,44.87,33.4851,17.6,2
Jay Test 2,CAS,2020,N18-1643,7,2,22,28,32,3,19.61,46.64,26.2086,18.7,2
Jay Test 2,CAS,2020,N18-1643,7,3,49,NA,31,3,NA,NA,21.945,18.7,2
Jay Test 2,CAS,2020,N18-1643,7,4,80,NA,36,3,NA,NA,21.6909,NA,NA
Jay Test 2,CAS,2020,N18-1661,8,1,19,26,35,4,21.69,43.86,28.2579,16.4,1.5
Jay Test 2,CAS,2020,N18-1661,8,2,37,26,37,3,21.48,44.32,37.4286,15.4,1.5
Jay Test 2,CAS,2020,N18-1661,8,3,57,NA,38,4,NA,NA,34.6005,16.7,1.5
Jay Test 2,CAS,2020,N18-1661,8,4,65,NA,42,5,NA,NA,22.6479,NA,NA
Jay Test 2,CAS,2020,N18-1761,9,1,17,28,32,2.5,17.79,48.9,25.707,20.1,2
Jay Test 2,CAS,2020,N18-1761,9,2,28,27,29,2,18.77,49.7,26.5683,19.5,2
Jay Test 2,CAS,2020,N18-1761,9,3,55,NA,32,2.5,NA,NA,31.5348,19.6,2
Jay Test 2,CAS,2020,N18-1761,9,4,72,NA,36,2.5,NA,NA,31.2312,NA,NA
Jay Test 2,CAS,2020,N18-1820,10,1,15,27,31,4,20.95,43.86,11.8536,18.5,2
Jay Test 2,CAS,2020,N18-1820,10,2,21,28,30,3.5,19.5,45.41,9.1245,19.8,2.5
Jay Test 2,CAS,2020,N18-1820,10,3,52,NA,33,4,NA,NA,15.5166,19.4,2.5
Jay Test 2,CAS,2020,N18-1820,10,4,61,NA,35,5,NA,NA,12.2166,NA,NA
Jay Test 2,CAS,2020,N18-1586,11,1,11,26,31,3.5,20.8,46.97,36.4386,16.3,1.5
Jay Test 2,CAS,2020,N18-1586,11,2,30,27,32,3.5,NA,NA,25.3737,16,1.5
Jay Test 2,CAS,2020,N18-1586,11,3,56,NA,33,4,NA,NA,31.0134,16.5,1.5
Jay Test 2,CAS,2020,N18-1586,11,4,73,NA,34,4,NA,NA,30.8451,NA,NA
Jay Test 2,CAS,2020,N18-1577,12,1,4,27,38,3.5,17.09,49.75,24.1032,16.8,2.5
Jay Test 2,CAS,2020,N18-1577,12,2,25,26,37,3.5,18.59,50.63,27.0666,17.4,2
Jay Test 2,CAS,2020,N18-1577,12,3,44,NA,36,3.5,NA,NA,30.7098,17.4,2
Jay Test 2,CAS,2020,N18-1577,12,4,78,NA,32,3.5,NA,NA,23.6148,NA,NA
Jay Test 2,CAS,2020,N18-1627,13,1,3,28,34,3,19.56,46.81,26.0172,19.3,2.5
Jay Test 2,CAS,2020,N18-1627,13,2,33,27,31,2,20.22,46.86,31.4094,20.2,2.5
Jay Test 2,CAS,2020,N18-1627,13,3,53,NA,33,3,NA,NA,20.3907,19.6,3
Jay Test 2,CAS,2020,N18-1627,13,4,62,NA,35,3.5,NA,NA,30.3897,NA,NA
Jay Test 2,CAS,2020,N18-1783,14,1,12,27,36,3.5,19.71,47.96,30.9969,17.7,3
Jay Test 2,CAS,2020,N18-1783,14,2,39,28,34,2.5,19.19,48.04,22.1694,18,2
Jay Test 2,CAS,2020,N18-1783,14,3,46,NA,35,3,NA,NA,25.7565,18.2,2
Jay Test 2,CAS,2020,N18-1783,14,4,64,NA,36,3.5,NA,NA,27.8652,NA,NA
Jay Test 2,CAS,2020,N18-1769,15,1,8,28,30,3,18.26,49.27,18.9387,18.3,3
Jay Test 2,CAS,2020,N18-1769,15,2,31,29,32,3,16.63,50.34,15.1437,20.4,3
Jay Test 2,CAS,2020,N18-1769,15,3,48,NA,30,2.5,NA,NA,16.6287,18.8,2
Jay Test 2,CAS,2020,N18-1769,15,4,71,NA,33,3,NA,NA,22.8261,NA,NA
Jay Test 2,CAS,2020,Osage,16,1,6,26,30,2.5,20.17,45.82,23.8689,15.1,3
Jay Test 2,CAS,2020,Osage,16,2,36,26,28,2,20.46,46.31,31.8714,15.5,2
Jay Test 2,CAS,2020,Osage,16,3,60,NA,32,3.5,NA,NA,15.3351,15.6,2
Jay Test 2,CAS,2020,Osage,16,4,79,NA,31,2.5,NA,NA,29.4822,NA,NA
Jay Test 2,CAS,2020,Ellis,17,1,13,28,29,2.5,19.84,43.3,24.0669,14.7,2
Jay Test 2,CAS,2020,Ellis,17,2,35,26,30,1.5,21.44,42.61,34.8348,14.9,1.5
Jay Test 2,CAS,2020,Ellis,17,3,42,NA,31,2.5,NA,NA,13.6686,13.7,2
Jay Test 2,CAS,2020,Ellis,17,4,69,NA,35,2.5,NA,NA,12.3354,NA,NA
Jay Test 2,CAS,2020,Dunphy,18,1,5,27,30,2,20.79,42.99,28.6473,17,2
Jay Test 2,CAS,2020,Dunphy,18,2,27,26,27,1.5,21.58,42.63,34.3464,18.8,2
Jay Test 2,CAS,2020,Dunphy,18,3,50,NA,30,2,NA,NA,24.5751,18.6,2.5
Jay Test 2,CAS,2020,Dunphy,18,4,63,NA,29,3,NA,NA,33.9306,NA,NA
Jay Test 2,CAS,2020,N09-09,19,1,18,28,36,3,19.63,45.86,29.3997,15.8,1.5
Jay Test 2,CAS,2020,N09-09,19,2,26,26,37,2.5,19.93,46.31,36.0129,16.4,1
Jay Test 2,CAS,2020,N09-09,19,3,43,NA,41,3.5,NA,NA,28.4724,16.8,1.5
Jay Test 2,CAS,2020,N09-09,19,4,75,NA,36,4,NA,NA,31.4028,NA,NA
Jay Test 2,CAS,2020,N10-687,20,1,20,26,31,1.5,20.34,43.14,45.0252,11.7,1
Jay Test 2,CAS,2020,N10-687,20,2,32,28,35,1.5,20.55,44.56,34.0626,14,1
Jay Test 2,CAS,2020,N10-687,20,3,51,NA,34,2.5,NA,NA,35.8116,12.6,1
Jay Test 2,CAS,2020,N10-687,20,4,67,NA,33,3,NA,NA,40.0719,NA,NA
