test,loc,year,genotype,code,rep,plot,md,ht,lod,oil_dry_basis,protein_dry_basis,yield,sdwt,sq
Jay Test 1,CLA,2020,N18-1682,13,4,75,NA,NA,NA,NA,NA,40.3359,NA,1.5
Jay Test 1,CLA,2020,N18-1731,14,1,15,51,42,2,20.89,45.25,45.6423,18.7,1.5
Jay Test 1,CLA,2020,N18-1731,14,2,21,52,44,3.5,20.05,47.55,69.0822,18.1,2
Jay Test 1,CLA,2020,N18-1731,14,3,51,56,NA,NA,NA,NA,59.7663,19.6,2
Jay Test 1,CLA,2020,N18-1731,14,4,77,NA,NA,NA,NA,NA,32.9802,NA,2.5
Jay Test 1,CLA,2020,N18-1632-2,15,1,14,54,37,2.5,20.34,46.65,52.0707,15.7,2
Jay Test 1,CLA,2020,N18-1632-2,15,2,36,51,41,2,20.1,47.03,48.1635,16,1.5
Jay Test 1,CLA,2020,N18-1632-2,15,3,45,50,NA,NA,NA,NA,55.6875,16.4,2
Jay Test 1,CLA,2020,N18-1632-2,15,4,64,NA,NA,NA,NA,NA,49.7739,NA,1.5
Jay Test 1,CLA,2020,Dunphy,16,1,18,54,28,1.5,20.68,42.76,45.4905,15.7,2
Jay Test 1,CLA,2020,Dunphy,16,2,28,53,30,1.5,20.97,42.81,47.6916,15.5,2
Jay Test 1,CLA,2020,Dunphy,16,3,56,51,NA,NA,NA,NA,51.81,16.1,2
Jay Test 1,CLA,2020,Dunphy,16,4,79,NA,NA,NA,NA,NA,43.4148,NA,2
Jay Test 1,CLA,2020,Dilday,17,1,10,51,38,2,22.68,41,53.1036,14.8,2
Jay Test 1,CLA,2020,Dilday,17,2,29,53,34,2,22.24,41.31,59.3439,16.4,2
Jay Test 1,CLA,2020,Dilday,17,3,54,54,NA,NA,NA,NA,48.543,16.4,2.5
Jay Test 1,CLA,2020,Dilday,17,4,69,NA,NA,NA,NA,NA,52.8528,NA,2
Jay Test 1,CLA,2020,NC-Raleigh,18,1,6,NA,37,4,22.4,41.24,39.4515,12.1,2.5
Jay Test 1,CLA,2020,NC-Raleigh,18,2,33,NA,42,4,22.14,41.72,44.7084,12,2.5
Jay Test 1,CLA,2020,NC-Raleigh,18,3,55,NA,NA,NA,NA,NA,46.8897,12,2
Jay Test 1,CLA,2020,NC-Raleigh,18,4,65,NA,NA,NA,NA,NA,35.8974,NA,2
Jay Test 1,CLA,2020,LMN09-119,19,1,9,51,42,2,17.52,51.56,49.6188,19,1.5
Jay Test 1,CLA,2020,LMN09-119,19,2,23,50,34,2.5,18.55,50.2,46.5531,17.7,2
Jay Test 1,CLA,2020,LMN09-119,19,3,60,51,NA,NA,NA,NA,49.2723,19.1,2
Jay Test 1,CLA,2020,LMN09-119,19,4,66,NA,NA,NA,NA,NA,41.1411,NA,1.5
Jay Test 1,CLA,2020,N09-09,20,1,19,51,36,2,19.28,47.39,43.6326,14.7,1.5
Jay Test 1,CLA,2020,N09-09,20,2,35,53,41,2,18.73,48.05,45.9855,15.4,1.5
Jay Test 1,CLA,2020,N09-09,20,3,50,53,NA,NA,NA,NA,45.012,15.5,2
Jay Test 1,CLA,2020,N09-09,20,4,76,NA,NA,NA,NA,NA,32.1222,NA,1.5
Jay Test 1,CAS,2020,N18-1674,1,1,3,28,38,4,19.61,47.11,26.9742,18.4,3
Jay Test 1,CAS,2020,N18-1674,1,2,33,27,28,4,20.46,46.3,16.7739,16.8,3
Jay Test 1,CAS,2020,N18-1674,1,3,56,NA,31,3,NA,NA,19.1466,16.9,3
Jay Test 1,CAS,2020,N18-1674,1,4,78,NA,31,3.5,NA,NA,32.6634,NA,NA
