genotype,loc,test,year,rep,code,plot,fc,md,pub,lod,ht,yield,sdwt,sq,notes,note1,note2,nir_no,date_time_of_analysis,moisture,oil_dry_basis,protein_dry_basis,linoleic_acid_dry_basis,linolenic_acid_dry_basis,oleic_acid_dry_basis,palmitic_acid_dry_basis,stearic_acid_dry_basis,bar_code,twt_moisture,twt_weight,twt_temperature,twt_date_time,...10
AG 52X9,PLY,USB Oil 5 Early,2021,1,9,1,p,33,g,1.5,37,2299.9,14.2,2,NA,NA,NA,NIR-09050,2022-02-08T11:44:03Z,6.79,21.1,44.72,61.27,10.46,11.04,11.72,4.45,2021_PLY_USB Oil 5 Early_9_AG 52X9_1_NIR-09050,NA,NA,NA,NA,NA
S16-8852C,PLY,USB Oil 5 Early,2021,1,1,2,s,34,t,1.5,36,2490.5,11.5,2,NA,NA,NA,NIR-09026,2022-02-08T11:34:28Z,6.49,22.97,40.86,59.07,8.37,14.72,12.52,4.35,2021_PLY_USB Oil 5 Early_1_S16-8852C_1_NIR-09026,NA,NA,NA,NA,NA
R16-5695,PLY,USB Oil 5 Early,2021,1,7,3,p,36,t,1.5,33,2385.8,13.8,1.5,NA,NA,NA,NIR-09044,2022-02-08T11:41:34Z,6.94,23.88,40.8,68.18,9.29,7.01,11.83,3.77,2021_PLY_USB Oil 5 Early_7_R16-5695_1_NIR-09044,NA,NA,NA,NA,NA
N17-1029,PLY,USB Oil 5 Early,2021,1,6,4,s,33,t,1.5,24,2196.9,13.5,1.5,NA,NA,NA,NIR-09041,2022-02-08T11:40:23Z,6.29,25.65,40.12,62.06,7.81,13.4,11.7,3.83,2021_PLY_USB Oil 5 Early_6_N17-1029_1_NIR-09041,NA,NA,NA,NA,NA
AG 55X7,PLY,USB Oil 5 Early,2021,1,10,5,w,31,t,1.5,28,2568.1,12.5,1.5,NA,NA,NA,NIR-09053,2022-02-08T11:45:15Z,7.02,22.48,40.88,62.98,9.26,7.93,13.52,4.29,2021_PLY_USB Oil 5 Early_10_AG 55X7_1_NIR-09053,NA,NA,NA,NA,NA
N18-235,PLY,USB Oil 5 Early,2021,1,4,6,w,31,g,1.5,32,2217.1,12.3,1.5,NA,NA,NA,NIR-09035,2022-02-08T11:38:00Z,6.67,23.72,40.56,62.34,7.96,12.47,12.4,4,2021_PLY_USB Oil 5 Early_4_N18-235_1_NIR-09035,NA,NA,NA,NA,NA
N17-559,PLY,USB Oil 5 Early,2021,1,5,7,p,34,lt,3,48,1623.8,16.2,1.5,indet,NA,NA,NIR-09038,2022-02-08T11:39:10Z,6.62,23.76,43.82,59.2,7.93,13.92,12.31,4.34,2021_PLY_USB Oil 5 Early_5_N17-559_1_NIR-09038,NA,NA,NA,NA,NA
R16-1445,PLY,USB Oil 5 Early,2021,1,8,8,s,33,g,2,36,2202.4,12.9,1.5,NA,NA,NA,NIR-09047,2022-02-08T11:42:47Z,7.33,22.56,42.25,59.34,8.17,17.72,11.65,3.78,2021_PLY_USB Oil 5 Early_8_R16-1445_1_NIR-09047,NA,NA,NA,NA,NA
S14-9017R,PLY,USB Oil 5 Early,2021,1,2,9,w,32,g,1,33,2343.9,12,2,NA,NA,NA,NIR-09029,2022-02-08T11:35:40Z,6.25,24.85,39.65,60.08,9.88,9.36,12.19,4.84,2021_PLY_USB Oil 5 Early_2_S14-9017R_1_NIR-09029,NA,NA,NA,NA,NA
S16-9090C,PLY,USB Oil 5 Early,2021,1,3,10,w,33,g,1.5,33,2214.4,12.2,1.5,NA,NA,NA,NIR-09032,2022-02-08T11:36:52Z,7.35,22.9,41.44,61.04,8.52,14.35,11.86,3.9,2021_PLY_USB Oil 5 Early_3_S16-9090C_1_NIR-09032,NA,NA,NA,NA,NA
N18-235,PLY,USB Oil 5 Early,2021,2,4,11,w,31,g,1,24,1869.9,11.3,1.5,NA,NA,NA,NIR-09036,2022-02-08T11:38:25Z,6.94,23.7,41.45,60.91,8.34,14.88,12,4.57,2021_PLY_USB Oil 5 Early_4_N18-235_2_NIR-09036,NA,NA,NA,NA,NA
S16-9090C,PLY,USB Oil 5 Early,2021,2,3,12,w,34,g,1.5,35,2491.4,11.3,1.5,NA,NA,NA,NIR-09033,2022-02-08T11:37:14Z,6.74,23.26,39.95,62.66,8.25,12.95,13.16,3.9,2021_PLY_USB Oil 5 Early_3_S16-9090C_2_NIR-09033,NA,NA,NA,NA,NA
S16-8852C,PLY,USB Oil 5 Early,2021,2,1,13,s,35,t,1.5,33,2422.2,12,1.5,NA,NA,NA,NIR-09027,2022-02-08T11:34:51Z,6.52,23.13,40.47,60.83,8.29,13.39,12.68,4.65,2021_PLY_USB Oil 5 Early_1_S16-8852C_2_NIR-09027,NA,NA,NA,NA,NA
R16-5695,PLY,USB Oil 5 Early,2021,2,7,14,p,26,t,1,31,2406.6,13.9,1.5,NA,NA,NA,NIR-09045,2022-02-08T11:41:58Z,7.12,23.05,42.04,64.17,9.61,9.69,13.08,4.1,2021_PLY_USB Oil 5 Early_7_R16-5695_2_NIR-09045,NA,NA,NA,NA,NA
AG 52X9,PLY,USB Oil 5 Early,2021,2,9,15,p,34,g,1.5,44,2255.3,14,2,NA,NA,NA,NIR-09051,2022-02-08T11:44:26Z,6.77,22.05,43.96,60.16,9.41,13.76,11.75,4.58,2021_PLY_USB Oil 5 Early_9_AG 52X9_2_NIR-09051,NA,NA,NA,NA,NA
S14-9017R,PLY,USB Oil 5 Early,2021,2,2,16,w,36,g,1.5,29,2042.5,13,2,NA,NA,NA,NIR-09030,2022-02-08T11:36:03Z,6.27,23.93,41.26,60.41,10.01,10.32,11.93,4.75,2021_PLY_USB Oil 5 Early_2_S14-9017R_2_NIR-09030,NA,NA,NA,NA,NA
AG 55X7,PLY,USB Oil 5 Early,2021,2,10,17,w,33,t,1,25,2539.4,11.7,1.5,NA,NA,NA,NIR-09054,2022-02-08T11:45:41Z,7.38,22.57,40.82,61.56,9.47,9.73,13.25,4.86,2021_PLY_USB Oil 5 Early_10_AG 55X7_2_NIR-09054,NA,NA,NA,NA,NA
N17-1029,PLY,USB Oil 5 Early,2021,2,6,18,s,30,t,1,21,1778.5,13,1.5,thin,NA,NA,NIR-09042,2022-02-08T11:40:48Z,6.89,24.95,40.24,62.6,7.36,13.22,11.76,3.84,2021_PLY_USB Oil 5 Early_6_N17-1029_2_NIR-09042,NA,NA,NA,NA,NA
R16-1445,PLY,USB Oil 5 Early,2021,2,8,19,s,33,g,1.5,29,1686.1,11.4,1.5,NA,NA,NA,NIR-09048,2022-02-08T11:43:12Z,7.47,22.67,42.47,64.14,8.29,12.05,11.62,3.79,2021_PLY_USB Oil 5 Early_8_R16-1445_2_NIR-09048,NA,NA,NA,NA,NA
N17-559,PLY,USB Oil 5 Early,2021,2,5,20,p,31,lt,2,46,1866.6,14.3,1.5,indet,NA,NA,NIR-09039,2022-02-08T11:39:35Z,6.88,23.51,43.03,58.15,7.85,17.16,11.86,4,2021_PLY_USB Oil 5 Early_5_N17-559_2_NIR-09039,NA,NA,NA,NA,NA
N17-1029,PLY,USB Oil 5 Early,2021,3,6,21,s,NA,t,NA,NA,1811.8,NA,NA,NA,NA,NA,NIR-09043,2022-02-08T11:41:11Z,6.66,24,41.74,59.49,7.6,15.67,12.88,3.89,2021_PLY_USB Oil 5 Early_6_N17-1029_3_NIR-09043,NA,NA,NA,NA,NA
N18-235,PLY,USB Oil 5 Early,2021,3,4,22,w,NA,g,NA,NA,1351.8,NA,NA,NA,NA,NA,NIR-09037,2022-02-08T11:38:48Z,6.96,22.69,42.22,58.76,8.88,14,12.32,4.85,2021_PLY_USB Oil 5 Early_4_N18-235_3_NIR-09037,NA,NA,NA,NA,NA
R16-1445,PLY,USB Oil 5 Early,2021,3,8,23,s,NA,g,NA,NA,1629.7,NA,NA,NA,NA,NA,NIR-09049,2022-02-08T11:43:38Z,7.36,21.94,42.39,60.12,8.62,16.49,11.86,3.77,2021_PLY_USB Oil 5 Early_8_R16-1445_3_NIR-09049,NA,NA,NA,NA,NA
AG 55X7,PLY,USB Oil 5 Early,2021,3,10,24,w,NA,t,NA,NA,1727.6,NA,NA,NA,NA,NA,NIR-09055,2022-02-08T11:46:09Z,7.43,22.5,40.65,61.38,9.34,11.14,12.37,4.75,2021_PLY_USB Oil 5 Early_10_AG 55X7_3_NIR-09055,NA,NA,NA,NA,NA
S16-8852C,PLY,USB Oil 5 Early,2021,3,1,25,s,NA,t,NA,NA,2295.4,NA,NA,NA,NA,NA,NIR-09028,2022-02-08T11:35:16Z,7.06,22.89,41.8,59.2,8.86,15.29,12.62,4.35,2021_PLY_USB Oil 5 Early_1_S16-8852C_3_NIR-09028,NA,NA,NA,NA,NA
AG 52X9,PLY,USB Oil 5 Early,2021,3,9,26,p,NA,g,NA,NA,2064.4,NA,NA,NA,NA,NA,NIR-09052,2022-02-08T11:44:50Z,7.43,21.7,43.61,60.36,10.37,9.88,13.08,4.97,2021_PLY_USB Oil 5 Early_9_AG 52X9_3_NIR-09052,NA,NA,NA,NA,NA
S16-9090C,PLY,USB Oil 5 Early,2021,3,3,27,w,NA,g,NA,NA,2136.5,NA,NA,NA,NA,NA,NIR-09034,2022-02-08T11:37:37Z,6.94,23.57,39.38,60.81,8.7,14.04,12.41,4.13,2021_PLY_USB Oil 5 Early_3_S16-9090C_3_NIR-09034,NA,NA,NA,NA,NA
S14-9017R,PLY,USB Oil 5 Early,2021,3,2,28,w,NA,g,NA,NA,1531.5,NA,NA,NA,NA,NA,NIR-09031,2022-02-08T11:36:27Z,6.44,23.88,40.11,59.21,9.05,11.92,11.98,5.06,2021_PLY_USB Oil 5 Early_2_S14-9017R_3_NIR-09031,NA,NA,NA,NA,NA
R16-5695,PLY,USB Oil 5 Early,2021,3,7,29,p,NA,t,NA,NA,1733.6,NA,NA,NA,NA,NA,NIR-09046,2022-02-08T11:42:23Z,6.75,23.05,41.96,66.02,8.77,9.06,11.59,3.85,2021_PLY_USB Oil 5 Early_7_R16-5695_3_NIR-09046,NA,NA,NA,NA,NA
N17-559,PLY,USB Oil 5 Early,2021,3,5,30,p,NA,lt,NA,NA,1938.5,NA,NA,indet,NA,NA,NIR-09040,2022-02-08T11:39:59Z,6.66,22.98,43.29,59.76,8.83,12.6,11.68,4.79,2021_PLY_USB Oil 5 Early_5_N17-559_3_NIR-09040,NA,NA,NA,NA,NA
R17-1032,PLY,USB Oil 5 Late,2021,1,5,1,p,38,t,2,43,1660.9,11.7,1,NA,NA,NA,NIR-09068,2022-02-08T11:27:19Z,6.61,22.77,43.42,65.48,7.75,11.43,12.23,3.55,2021_PLY_USB Oil 5 Late_5_R17-1032_1_NIR-09068,NA,NA,NA,NA,NA
Miller,PLY,USB Oil 5 Late,2021,1,8,2,p,38,g,1,25,1835.8,11.8,1,NA,NA,NA,NIR-09077,2022-02-08T11:31:14Z,6.78,23.62,40.69,63.34,8.65,10.81,12.41,3.85,2021_PLY_USB Oil 5 Late_8_Miller_1_NIR-09077,NA,NA,NA,NA,NA
Osage,PLY,USB Oil 5 Late,2021,1,7,3,p,32,g,1,22,1726.1,13.4,1,NA,thin,NA,NIR-09074,2022-02-08T11:29:59Z,7,22.1,45.65,59.42,9.27,14.02,11.51,4.29,2021_PLY_USB Oil 5 Late_7_Osage_1_NIR-09074,NA,NA,NA,NA,NA
N17-2488,PLY,USB Oil 5 Late,2021,1,4,4,p,32,g,1,28,2046,14.8,1.5,NA,NA,NA,NIR-09065,2022-02-08T11:26:02Z,6.88,23.96,41.26,62.06,8.52,13.22,11.25,4.05,2021_PLY_USB Oil 5 Late_4_N17-2488_1_NIR-09065,NA,NA,NA,NA,NA
R17-4177,PLY,USB Oil 5 Late,2021,1,6,5,p,35,t,2,38,1725.8,13.4,1,NA,NA,NA,NIR-09071,2022-02-08T11:28:37Z,6.98,23.22,42.83,69.67,8.07,6.17,12.88,3.84,2021_PLY_USB Oil 5 Late_6_R17-4177_1_NIR-09071,NA,NA,NA,NA,NA
N17-2491,PLY,USB Oil 5 Late,2021,1,2,6,p,35,g,1.5,32,1570.5,13.3,1.5,NA,NA,NA,NIR-09059,2022-02-08T11:23:15Z,7.27,23.46,40.66,65.3,8.69,10.48,11.91,3.78,2021_PLY_USB Oil 5 Late_2_N17-2491_1_NIR-09059,NA,NA,NA,NA,NA
N18-973,PLY,USB Oil 5 Late,2021,1,1,7,p,40,t,3,33,1893.1,11.2,2,NA,NA,NA,NIR-09056,2022-02-08T11:21:45Z,7.09,22.79,43.07,63.34,8.73,11.44,12.05,3.89,2021_PLY_USB Oil 5 Late_1_N18-973_1_NIR-09056,NA,NA,NA,NA,NA
N17-682,PLY,USB Oil 5 Late,2021,1,3,8,p,34,t,1.5,36,2385.6,12.2,1.5,NA,NA,NA,NIR-09062,2022-02-08T11:24:45Z,6.46,22.44,42.75,61.69,9.32,12.34,12.79,4.08,2021_PLY_USB Oil 5 Late_3_N17-682_1_NIR-09062,NA,NA,NA,NA,NA
R17-4177,PLY,USB Oil 5 Late,2021,2,6,9,p,36,t,1.5,33,2275.2,12.7,1,NA,NA,NA,NIR-09072,2022-02-08T11:29:05Z,7.54,22.87,43.54,67.88,8.67,8.53,11.2,4.01,2021_PLY_USB Oil 5 Late_6_R17-4177_2_NIR-09072,NA,NA,NA,NA,NA
N17-2491,PLY,USB Oil 5 Late,2021,2,2,10,p,42,g,1,26,2130.5,14,2,NA,NA,NA,NIR-09060,2022-02-08T11:23:55Z,6.54,24.16,39.73,65.12,8.35,9.39,12.6,4.34,2021_PLY_USB Oil 5 Late_2_N17-2491_2_NIR-09060,NA,NA,NA,NA,NA
N18-973,PLY,USB Oil 5 Late,2021,2,1,11,p,43,t,2,38,1758,12.9,2,NA,NA,NA,NIR-09057,2022-02-08T11:22:15Z,7.38,22.94,43.28,65.28,8.6,11.38,10.85,3.66,2021_PLY_USB Oil 5 Late_1_N18-973_2_NIR-09057,NA,NA,NA,NA,NA
N17-2488,PLY,USB Oil 5 Late,2021,2,4,12,p,35,g,1,20,2014.2,16.6,1.5,NA,NA,NA,NIR-09066,2022-02-08T11:26:28Z,6.29,24.01,41.86,60.35,7.37,15.57,11.85,3.77,2021_PLY_USB Oil 5 Late_4_N17-2488_2_NIR-09066,NA,NA,NA,NA,NA
Osage,PLY,USB Oil 5 Late,2021,2,7,13,p,34,g,1,23,1483.6,11.9,1,NA,NA,NA,NIR-09075,2022-02-08T11:30:23Z,7.18,21.49,45.4,61.19,10.28,10.78,11.94,4.66,2021_PLY_USB Oil 5 Late_7_Osage_2_NIR-09075,NA,NA,NA,NA,NA
R17-1032,PLY,USB Oil 5 Late,2021,2,5,14,p,35,t,1.5,40,1728.3,10,1,NA,NA,NA,NIR-09069,2022-02-08T11:27:46Z,6.66,22.89,41.81,66.54,8.44,10.45,11.12,3.93,2021_PLY_USB Oil 5 Late_5_R17-1032_2_NIR-09069,NA,NA,NA,NA,NA
Miller,PLY,USB Oil 5 Late,2021,2,8,15,p,36,g,1.5,34,2139,14.8,1,NA,NA,NA,NIR-09078,2022-02-08T11:31:42Z,6.8,24.27,39.2,68.47,7.85,7.42,12.19,4.27,2021_PLY_USB Oil 5 Late_8_Miller_2_NIR-09078,NA,NA,NA,NA,NA
N17-682,PLY,USB Oil 5 Late,2021,2,3,16,p,34,t,1.5,35,2221.8,12.1,1.5,NA,NA,NA,NIR-09063,2022-02-08T11:25:11Z,6.34,22.9,42.18,59.51,9.29,14.4,12.77,4.19,2021_PLY_USB Oil 5 Late_3_N17-682_2_NIR-09063,NA,NA,NA,NA,NA
Miller,PLY,USB Oil 5 Late,2021,3,8,17,p,NA,g,NA,NA,1994.6,NA,NA,NA,NA,NA,NIR-09079,2022-02-08T11:32:06Z,6.5,23.71,39.41,65.79,8.55,8.51,12.34,3.99,2021_PLY_USB Oil 5 Late_8_Miller_3_NIR-09079,NA,NA,NA,NA,NA
N17-2488,PLY,USB Oil 5 Late,2021,3,4,18,p,NA,g,NA,NA,2080.1,NA,NA,NA,NA,NA,NIR-09067,2022-02-08T11:26:54Z,6.63,23.28,41.37,59.18,9.15,15.29,12.43,3.95,2021_PLY_USB Oil 5 Late_4_N17-2488_3_NIR-09067,NA,NA,NA,NA,NA
R17-4177,PLY,USB Oil 5 Late,2021,3,6,19,p,NA,t,NA,NA,2025.3,NA,NA,NA,NA,NA,NIR-09073,2022-02-08T11:29:33Z,6.64,23.35,42.75,69.3,7.35,8.05,11.35,3.84,2021_PLY_USB Oil 5 Late_6_R17-4177_3_NIR-09073,NA,NA,NA,NA,NA
N18-973,PLY,USB Oil 5 Late,2021,3,1,20,p,NA,t,NA,NA,1686.3,NA,NA,NA,NA,NA,NIR-09058,2022-02-08T11:22:46Z,7.35,22.67,42.87,63.16,8.77,13.11,11.69,3.96,2021_PLY_USB Oil 5 Late_1_N18-973_3_NIR-09058,NA,NA,NA,NA,NA
N17-682,PLY,USB Oil 5 Late,2021,3,3,21,p,NA,t,NA,NA,2454.9,NA,NA,NA,NA,NA,NIR-09064,2022-02-08T11:25:36Z,7.12,22.36,43.28,53.96,9.24,17.27,13.55,5.27,2021_PLY_USB Oil 5 Late_3_N17-682_3_NIR-09064,NA,NA,NA,NA,NA
R17-1032,PLY,USB Oil 5 Late,2021,3,5,22,p,NA,t,NA,NA,2136,NA,NA,NA,NA,NA,NIR-09070,2022-02-08T11:28:11Z,6.48,22.82,43.62,65,8.59,12.31,11.37,3.8,2021_PLY_USB Oil 5 Late_5_R17-1032_3_NIR-09070,NA,NA,NA,NA,NA
Osage,PLY,USB Oil 5 Late,2021,3,7,23,p,NA,g,NA,NA,1999.4,NA,NA,NA,NA,NA,NIR-09076,2022-02-08T11:30:48Z,7.12,20.95,45.42,62.47,9.91,11.22,11.21,4.23,2021_PLY_USB Oil 5 Late_7_Osage_3_NIR-09076,NA,NA,NA,NA,NA
N17-2491,PLY,USB Oil 5 Late,2021,3,2,24,p,NA,g,NA,NA,2439.2,NA,NA,NA,NA,NA,NIR-09061,2022-02-08T11:24:20Z,6.49,24.09,39.17,65.63,9.05,9.21,12.08,3.79,2021_PLY_USB Oil 5 Late_2_N17-2491_3_NIR-09061,NA,NA,NA,NA,NA
RM19-2621,PLY,HIF 5,2021,1,1,10,w,4,g,3,46,1740.9,16.8,2,NA,NA,NA,NIR-06871,2022-01-07T11:01:47Z,7.5,21.47,45.44,57.27,9.44,14.95,11.5,5.04,2021_PLY_HIF 5_1_RM19-2621_1_NIR-06871,8.2,56,64.1,2021-12-20T08:24:08Z,NA
RM19-2621,PLY,HIF 5,2021,2,1,55,w,5,g,2,44,1599.4,15.4,2,NA,NA,NA,NIR-06872,2022-01-07T11:02:15Z,7.47,22.53,43.38,59.82,8.44,15.11,10.93,4.94,2021_PLY_HIF 5_1_RM19-2621_2_NIR-06872,8.3,56,62.7,2021-12-20T08:24:46Z,NA
RM19-2621,PLY,HIF 5,2021,3,1,73,w,NA,g,NA,NA,1479.8,16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,56.6,65.7,2021-12-20T08:25:24Z,NA
RM19-2624,PLY,HIF 5,2021,1,2,21,w,2,g,3,46,1010.2,15.1,2,NA,NA,NA,NIR-06873,2022-01-07T11:02:46Z,7.54,21.28,46.4,59.44,9.22,14.15,10.92,4.71,2021_PLY_HIF 5_2_RM19-2624_1_NIR-06873,8.7,56.4,62.6,2021-12-20T08:26:14Z,NA
RM19-2624,PLY,HIF 5,2021,2,2,47,w,2,g,2,45,1223.5,15,2,NA,NA,NA,NIR-06874,2022-01-07T11:03:14Z,7.51,21.02,46.64,58.23,9.18,14.92,11.39,4.76,2021_PLY_HIF 5_2_RM19-2624_2_NIR-06874,8.5,58,62.5,2021-12-20T08:26:55Z,NA
RM19-2624,PLY,HIF 5,2021,3,2,85,w,NA,g,NA,NA,1371.4,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,58,64.3,2021-12-20T08:27:41Z,NA
RM19-2625,PLY,HIF 5,2021,1,3,20,p,2,g,2.5,43,1400.6,15.7,2,NA,NA,NA,NIR-06875,2022-01-07T10:57:33Z,7.41,21.39,46.95,57.67,8.61,16.63,11.5,4.72,2021_PLY_HIF 5_3_RM19-2625_1_NIR-06875,8.3,57.3,61.6,2021-12-20T08:28:31Z,NA
RM19-2625,PLY,HIF 5,2021,2,3,42,p,3,g,2,46,1389.6,14.4,2,NA,NA,NA,NIR-06876,2022-01-07T10:58:59Z,7.3,20.57,47.94,58.58,9.17,15.3,11.12,4.91,2021_PLY_HIF 5_3_RM19-2625_2_NIR-06876,8.4,55.9,61.6,2021-12-20T08:29:07Z,NA
RM19-2625,PLY,HIF 5,2021,3,3,65,p,NA,g,NA,NA,1389.4,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,56.8,63.8,2021-12-20T08:29:50Z,NA
RM19-2629,PLY,HIF 5,2021,1,4,1,p,3,g,1,28,2108.4,14,2,NA,NA,NA,NIR-06877,2022-01-07T10:58:02Z,7.17,21.71,43.07,62.33,9.73,9.85,12.13,4.73,2021_PLY_HIF 5_4_RM19-2629_1_NIR-06877,8.3,57,61.3,2021-12-20T08:33:59Z,NA
RM19-2629,PLY,HIF 5,2021,2,4,52,p,1,g,1,29,1702,12.8,2,NA,NA,NA,NIR-06878,2022-01-07T10:58:31Z,7.43,22.55,41.32,63.81,9.22,9.97,11.56,4.92,2021_PLY_HIF 5_4_RM19-2629_2_NIR-06878,8.3,57.7,61.3,2021-12-20T08:34:45Z,NA
RM19-2629,PLY,HIF 5,2021,3,4,83,p,NA,g,NA,NA,1660.4,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,57.7,63.5,2021-12-20T08:35:28Z,NA
RM19-2630,PLY,HIF 5,2021,1,5,26,p,3,g,1,23,2155.8,12.9,2,NA,NA,NA,NIR-06879,2022-01-07T11:01:10Z,7.53,22.13,41.93,63.62,9.79,8.52,11.99,4.67,2021_PLY_HIF 5_5_RM19-2630_1_NIR-06879,8.1,56.5,62.3,2021-12-20T08:36:55Z,NA
RM19-2630,PLY,HIF 5,2021,2,5,44,p,3,g,1,22,2321.4,12.9,2,NA,NA,NA,NIR-06880,2022-01-07T11:00:42Z,7.35,22.02,41.36,64.22,10.53,6.66,12.06,5.01,2021_PLY_HIF 5_5_RM19-2630_2_NIR-06880,8.3,57,61.1,2021-12-20T08:37:35Z,NA
RM19-2630,PLY,HIF 5,2021,3,5,61,p,NA,g,NA,NA,2136.3,14.3,NA,NA,thin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,57.5,64.5,2021-12-20T08:38:16Z,NA
RM19-2634,PLY,HIF 5,2021,1,6,30,p,2,g,1,24,2207.8,12.7,2,NA,NA,NA,NIR-06881,2022-01-07T10:53:52Z,7.14,22.36,40.89,65.27,9.75,7.82,11.61,4.87,2021_PLY_HIF 5_6_RM19-2634_1_NIR-06881,8.2,57.6,60.6,2021-12-20T08:39:02Z,NA
RM19-2634,PLY,HIF 5,2021,2,6,60,p,2,g,1,25,2137.5,13.8,2,NA,NA,NA,NIR-06882,2022-01-07T10:55:29Z,7.37,22.3,41.18,65.8,9.76,6.98,11.68,4.71,2021_PLY_HIF 5_6_RM19-2634_2_NIR-06882,8.1,57.6,61.8,2021-12-20T08:39:41Z,NA
RM19-2634,PLY,HIF 5,2021,3,6,68,p,NA,g,NA,NA,1956.6,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,57.6,65.7,2021-12-20T08:40:27Z,NA
RM19-2635,PLY,HIF 5,2021,1,7,17,p,1,g,1,24,2049.4,12.8,1.5,NA,NA,NA,NIR-06883,2022-01-07T10:54:23Z,7.35,23.11,40.68,63.61,9.48,9.81,11.32,4.81,2021_PLY_HIF 5_7_RM19-2635_1_NIR-06883,8.1,58.2,61,2021-12-20T08:41:25Z,NA
RM19-2635,PLY,HIF 5,2021,2,7,46,p,3,g,1,24,2289.3,12.8,1.5,NA,NA,NA,NIR-06884,2022-01-07T10:54:56Z,7.24,22.71,41.44,62.26,9.59,9.84,11.68,4.66,2021_PLY_HIF 5_7_RM19-2635_2_NIR-06884,8.1,58.4,61.4,2021-12-20T08:42:28Z,NA
RM19-2635,PLY,HIF 5,2021,3,7,75,p,NA,g,NA,NA,2268.7,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,58.4,61.1,2021-12-20T08:43:10Z,NA
RM19-2700-2,PLY,HIF 5,2021,1,8,22,p,3,t,1.5,26,1954.3,16.1,2,NA,NA,NA,NIR-06885,2022-01-07T10:56:00Z,7.65,21.31,46.78,59.2,8.96,14.16,11.75,4.87,2021_PLY_HIF 5_8_RM19-2700-2_1_NIR-06885,8.1,56.9,61,2021-12-20T08:44:07Z,NA
RM19-2700-2,PLY,HIF 5,2021,2,8,32,p,1,t,1.5,28,2043.8,16.2,2,NA,NA,NA,NIR-06886,2022-01-07T10:56:29Z,7.73,21.29,47.67,58.38,8.48,15.82,11.29,4.75,2021_PLY_HIF 5_8_RM19-2700-2_2_NIR-06886,8.2,57.1,60.8,2021-12-20T08:44:54Z,NA
RM19-2700-2,PLY,HIF 5,2021,3,8,87,p,NA,t,NA,NA,1585.1,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,55.9,64.6,2021-12-20T08:45:36Z,NA
RM19-2655,PLY,HIF 5,2021,1,9,7,p,6,t,1,23,1822.5,12.8,2.5,NA,NA,NA,NIR-06887,2022-01-07T10:52:17Z,7.91,21.84,43.75,60.28,10.51,11.77,11.19,4.8,2021_PLY_HIF 5_9_RM19-2655_1_NIR-06887,8.4,57.2,61.1,2021-12-20T08:46:31Z,NA
RM19-2655,PLY,HIF 5,2021,2,9,31,p,3,t,1,23,1790.9,13.4,2,NA,NA,NA,NIR-06888,2022-01-07T10:56:59Z,7.39,22.56,42.8,60.7,9.49,12.56,11.73,4.66,2021_PLY_HIF 5_9_RM19-2655_2_NIR-06888,8.3,57.3,61.1,2021-12-20T08:47:11Z,NA
RM19-2655,PLY,HIF 5,2021,3,9,89,p,NA,t,NA,NA,1883.2,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,58.2,69.5,2021-12-20T08:47:51Z,NA
RM19-2656,PLY,HIF 5,2021,1,10,27,p,2,t,1,22,2097.1,12.8,2,NA,NA,NA,NIR-06889,2022-01-07T10:49:40Z,8.1,21.53,44.86,62.07,9.76,10.65,11.21,4.83,2021_PLY_HIF 5_10_RM19-2656_1_NIR-06889,8.2,57.2,61.2,2021-12-20T08:48:40Z,NA
RM19-2656,PLY,HIF 5,2021,2,10,54,p,1,t,1,22,2013.4,12.7,2,NA,NA,NA,NIR-06890,2022-01-07T10:49:11Z,7.92,21.94,45.51,59.86,8.87,13.32,12.11,4.69,2021_PLY_HIF 5_10_RM19-2656_2_NIR-06890,8.2,58,61.5,2021-12-20T08:54:12Z,NA
RM19-2656,PLY,HIF 5,2021,3,10,62,p,NA,t,NA,NA,1269.9,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,57.4,64,2021-12-20T08:54:55Z,NA
RM19-2658,PLY,HIF 5,2021,1,11,24,p,6,t,1,21,1668.1,13.5,2.5,NA,NA,NA,NIR-06891,2022-01-07T10:50:10Z,8.03,22.23,43.34,60.28,10.11,11.91,11.25,4.86,2021_PLY_HIF 5_11_RM19-2658_1_NIR-06891,8.2,57.3,61.2,2021-12-20T08:55:50Z,NA
